,Res 1,Res 2,Res 3,Res 4,Res 5,Res 6,Res 7,Res 8,Res 9,Res 10
Glycan 1,1.4342381534399464,5.3537323069572444,8.618224160671234,10.330884256362914,8.000757719278335,7.533580096960068,8.18674739599228,12.16894572854042,14.517497193813323,2.9812881289049984
Glycan 2,1.9452740196883678,5.28511977314949,6.921386227607727,4.346793417930603,7.651819407939911,4.899851126670837,7.25399859547615,,,
Glycan 3,1.616885924488306,5.231457206010819,7.1129636740684505,7.186594018936157,6.344997317790985,6.156153527498245,4.763076833486557,8.758999738693237,9.190831995010376,3.2847918659448623
Glycan 4,0.8202469592075795,0.03712183141615242,2.8327741163410245,4.39274064373225,4.257686700373888,5.5705601407960055,5.537431263923645,,,
Glycan 5,3.8399376459419727,7.036536242961883,8.503867127895354,7.18186809130013,11.703447036743164,8.779491327181459,12.414960885047913,6.511787506341935,,
Glycan 6,1.0989851504564285,1.2562066099932416,0.6339259678125382,0.5224019609950483,0.5272924617491662,2.2735942843556405,1.2312030440568924,0.5830567423813044,1.1062233728170394,0.32556051631458105
Glycan 7,1.1067627770081163,1.8858789145946502,1.2573125699162484,1.429155562222004,3.0736942875385282,3.927438031435013,4.842616159915924,4.614637410640716,1.092947737723589,1.962578791351989
Glycan 8,2.184684264063835,3.5339747071266174,7.597556657791138,9.770701446533202,7.258838105201721,6.221216733455658,7.512709257602691,12.199496040344238,5.201411973834038,
Glycan 9,1.5453181986510753,3.2326558113098143,7.9684654712677006,10.24925754070282,7.4469925093650815,13.922769174575805,7.288634295463562,3.7499903619289396,,
Glycan 10,2.0304893109202387,2.990284630060196,1.3421187058463693,1.1631624036282302,1.2012792539596557,1.4629726453730836,1.5357244945503772,3.8162274169921875,2.258995325900614,3.894401885867119
Glycan 11,3.278508323431015,7.624628419876099,9.784118576049805,7.425914146900177,10.132601561546325,12.107311630249024,6.8332403993606565,,,
Glycan 12,1.945773857012391,3.726305021047592,6.425223195552826,7.192557595968246,7.351202521324158,8.858385531902313,8.807154910564423,2.8070605951547623,,
Glycan 13,1.8112011694908141,6.277606437206268,9.094928979873657,7.993934786319732,10.430593161582946,7.1944925141334535,8.802439196109772,3.912611246109009,,
Glycan 14,2.0859541630744936,5.367486796379089,8.44171787083149,8.003435240983963,12.249822028949858,12.79724107865244,14.813112730979919,,,
Glycan 15,1.7796117120422423,3.6270306873321534,6.728514564037323,5.023508311510086,8.357328193187714,8.09007246017456,8.642011251449585,,,
Glycan 16,1.4708689955621959,5.979712500572204,10.188226289749146,11.156548595428466,12.266203145980835,14.828507251739502,12.043845348358154,,,
Glycan 17,1.423287214934826,5.8455202722549435,9.984998316764832,10.496544740200044,11.579093894958497,12.878638634681701,11.947443256378174,,,
Glycan 18,1.5305058035254477,6.133151693344116,11.115004720687866,10.17237877368927,14.76346357345581,15.008273305892944,17.345640563964842,12.679384384155274,,
Glycan 19,0.6935386182044749,1.3592074459791184,2.1633050376176834,2.2425363773107527,2.6719819742441175,4.044769370555878,2.672936967611313,1.2579775389726273,,
